filename	ATTRIBUTE_sampleid	ATTRIBUTE_cagenumber	ATTRIBUTE_timepoint	ATTRIBUTE_ZT	ATTRIBUTE_cycle	ATTRIBUTE_diet	ATTRIBUTE_exposuretype	ATTRIBUTE_genotype
A32_133_1B.mzXML	A32_133_1B	A32	1	2	night	HFD	Air	ApoE KO
A32_133_2B.mzXML	A32_133_2B	A32	2	6	day	HFD	Air	ApoE KO
A32_133_3B.mzXML	A32_133_3B	A32	3	10	day	HFD	Air	ApoE KO
A32_133_4B.mzXML	A32_133_4B	A32	4	14	day	HFD	Air	ApoE KO
A32_133_5B.mzXML	A32_133_5B	A32	5	18	night	HFD	Air	ApoE KO
A32_133_6B.mzXML	A32_133_6B	A32	6	22	night	HFD	Air	ApoE KO
A24_125_1B.mzXML	A24_125_1B	A24	1	2	night	HFD	IHC	ApoE KO
A24_125_2B.mzXML	A24_125_2B	A24	2	6	day	HFD	IHC	ApoE KO
A24_125_4B.mzXML	A24_125_4B	A24	4	14	day	HFD	IHC	ApoE KO
A24_125_5B.mzXML	A24_125_5B	A24	5	18	night	HFD	IHC	ApoE KO
A24_125_6B.mzXML	A24_125_6B	A24	6	22	night	HFD	IHC	ApoE KO
A25_126_1B.mzXML	A25_126_1B	A25	1	2	night	HFD	IHC	ApoE KO
A25_126_2B.mzXML	A25_126_2B	A25	2	6	day	HFD	IHC	ApoE KO
A25_126_3B.mzXML	A25_126_3B	A25	3	10	day	HFD	IHC	ApoE KO
A25_126_4B.mzXML	A25_126_4B	A25	4	14	day	HFD	IHC	ApoE KO
A25_126_5B.mzXML	A25_126_5B	A25	5	18	night	HFD	IHC	ApoE KO
A25_126_6B.mzXML	A25_126_6B	A25	6	22	night	HFD	IHC	ApoE KO
A26_127_1B.mzXML	A26_127_1B	A26	1	2	night	HFD	IHC	ApoE KO
A26_127_2B.mzXML	A26_127_2B	A26	2	6	day	HFD	IHC	ApoE KO
A26_127_3B.mzXML	A26_127_3B	A26	3	10	day	HFD	IHC	ApoE KO
A26_127_4B.mzXML	A26_127_4B	A26	4	14	day	HFD	IHC	ApoE KO
A26_127_5B.mzXML	A26_127_5B	A26	5	18	night	HFD	IHC	ApoE KO
A26_127_6B.mzXML	A26_127_6B	A26	6	22	night	HFD	IHC	ApoE KO
A27_128_1B.mzXML	A27_128_1B	A27	1	2	night	HFD	IHC	ApoE KO
A27_128_2B.mzXML	A27_128_2B	A27	2	6	day	HFD	IHC	ApoE KO
A27_128_3B.mzXML	A27_128_3B	A27	3	10	day	HFD	IHC	ApoE KO
A27_128_4B.mzXML	A27_128_4B	A27	4	14	day	HFD	IHC	ApoE KO
A27_128_5B.mzXML	A27_128_5B	A27	5	18	night	HFD	IHC	ApoE KO
A27_128_6B.mzXML	A27_128_6B	A27	6	22	night	HFD	IHC	ApoE KO
A29_130_1B.mzXML	A29_130_1B	A29	1	2	night	HFD	Air	ApoE KO
A29_130_2B.mzXML	A29_130_2B	A29	2	6	day	HFD	Air	ApoE KO
A29_130_3B.mzXML	A29_130_3B	A29	3	10	day	HFD	Air	ApoE KO
A29_130_4B.mzXML	A29_130_4B	A29	4	14	day	HFD	Air	ApoE KO
A29_130_5B.mzXML	A29_130_5B	A29	5	18	night	HFD	Air	ApoE KO
A29_130_6B.mzXML	A29_130_6B	A29	6	22	night	HFD	Air	ApoE KO
A30_131_1B.mzXML	A30_131_1B	A30	1	2	night	HFD	Air	ApoE KO
A30_131_2B.mzXML	A30_131_2B	A30	2	6	day	HFD	Air	ApoE KO
A30_131_4B.mzXML	A30_131_4B	A30	4	14	day	HFD	Air	ApoE KO
A30_131_5B.mzXML	A30_131_5B	A30	5	18	night	HFD	Air	ApoE KO
A30_131_6B.mzXML	A30_131_6B	A30	6	22	night	HFD	Air	ApoE KO
A31_132_1B.mzXML	A31_132_1B	A31	1	2	night	HFD	Air	ApoE KO
A31_132_2B.mzXML	A31_132_2B	A31	2	6	day	HFD	Air	ApoE KO
A31_132_3B.mzXML	A31_132_3B	A31	3	10	day	HFD	Air	ApoE KO
A31_132_4B.mzXML	A31_132_4B	A31	4	14	day	HFD	Air	ApoE KO
A31_132_5B.mzXML	A31_132_5B	A31	5	18	night	HFD	Air	ApoE KO
A31_132_6B.mzXML	A31_132_6B	A31	6	22	night	HFD	Air	ApoE KO
