CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP
k__Archaea;p__Crenarchaeota	1	1	0	NaN	0	0	NA	NA
k__Bacteria;__	0.0265237868600125	0.145880827730069	24	14	0.00459619407771256	0.0185640584435355	0.00619332279868271	0.00619332279868271
k__Bacteria;p__Actinobacteria	1	1	20	12	0.000353553390593274	0.00108619963727655	0.000383086219120206	0.000383086219120206
k__Bacteria;p__Bacteroidetes	0.0428774175963157	0.157217197853157	24	8	0.101278315072624	0.280065217391304	0.00685081996241948	0.00685081996241948
k__Bacteria;p__Chloroflexi	1	1	0	NaN	0	0	NA	NA
k__Bacteria;p__Cyanobacteria	1	1	0	NaN	0	0	NA	NA
k__Bacteria;p__Firmicutes	1	1	20	12	0.0572314554558396	0.37943923316766	0.0261174539520618	0.0261174539520618
k__Bacteria;p__Proteobacteria	0.838289479660683	1	0	NaN	0	0	NA	NA
k__Bacteria;p__Tenericutes	1	1	20	6	8.83763268330384e-05	0.000559594776324591	4.94979730022475e-05	4.94979730022475e-05
k__Bacteria;p__Verrucomicrobia	0.000493059527944878	0.00542365480739366	24	20	0.127514922991825	0.323409420347826	0.0613329223668034	0.0613329223668034
k__Bacteria;p__[Thermi]	1	1	0	NaN	0	0	NA	NA
